"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\features\login_otp\presentation\widgets\phone_number_widget.dart", "Dart", 67, 1, 5, 73
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\features\login_otp\presentation\widgets\pin_code.dart", "Dart", 34, 0, 3, 37
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\features\login_otp\presentation\widgets\pin_layout.dart", "Dart", 24, 0, 5, 29
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\features\onBoarding\pages\onboarding_base.dart", "Dart", 111, 1, 8, 120
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\features\onBoarding\pages\page_1.dart", "Dart", 35, 0, 5, 40
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\features\onBoarding\pages\page_2.dart", "Dart", 38, 0, 10, 48
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\features\onBoarding\pages\page_3.dart", "Dart", 38, 0, 5, 43
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\features\onBoarding\widgets\descripton_widget.dart", "Dart", 14, 0, 4, 18
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\features\onBoarding\widgets\headline_widget.dart", "Dart", 41, 0, 6, 47
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\features\onBoarding\widgets\indicator.dart", "Dart", 25, 0, 4, 29
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\features\settings\data\data_sources\settings_remote_data_source.dart", "Dart", 70, 0, 6, 76
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\features\settings\data\model\settings_model_converters.dart", "Dart", 165, 0, 25, 190
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\features\settings\data\repostiory_implementation\settings_repostiory_implementation.dart", "Dart", 71, 0, 7, 78
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\features\settings\domain\entity\ride_history_model.dart", "Dart", 53, 0, 16, 69
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\features\settings\domain\repostiory\settings_repostiory.dart", "Dart", 11, 0, 3, 14
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\features\settings\domain\use_case\get_company_info.dart", "Dart", 11, 0, 4, 15
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\features\settings\domain\use_case\get_non_scanned_rides.dart", "Dart", 12, 0, 4, 16
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\features\settings\domain\use_case\get_scanned_rides.dart", "Dart", 12, 0, 4, 16
